/home/suba/MinkowskiEngine/MinkowskiEngine/__init__.py:36: UserWarning: The environment variable `OMP_NUM_THREADS` not set. MinkowskiEngine will automatically set `OMP_NUM_THREADS=16`. If you want to set `OMP_NUM_THREADS` manually, please export it on the command line before running a python script. e.g. `export OMP_NUM_THREADS=12; python your_program.py`. It is recommended to set it below 24.
  warnings.warn(
[iter 3800] lr=1.65e-04 loss=2.191 motion=0.006 semantic=0.726 dice=1.000 offset=0.459 | data 0.0s compute 31.5s
[iter 3850] lr=1.53e-04 loss=1.167 motion=0.015 semantic=0.657 dice=0.112 offset=0.383 | data 0.0s compute 32.4s
[iter 3900] lr=1.40e-04 loss=1.235 motion=0.016 semantic=0.658 dice=0.032 offset=0.530 | data 0.0s compute 32.8s
[iter 3950] lr=1.28e-04 loss=1.954 motion=0.000 semantic=0.488 dice=1.000 offset=0.467 | data 0.0s compute 32.7s
  [val @ 4000] moving_iou=0.4959 P=0.767 R=0.584 semantic_miou=0.2681
  [val @ 4000] new best -> best.pt (0.4959)
[iter 4000] lr=1.17e-04 loss=1.895 motion=0.000 semantic=0.464 dice=1.000 offset=0.430 | data 0.0s compute 32.6s
[iter 4050] lr=1.06e-04 loss=1.872 motion=0.000 semantic=0.429 dice=1.000 offset=0.442 | data 0.0s compute 32.9s
[iter 4100] lr=9.55e-05 loss=2.096 motion=0.000 semantic=0.590 dice=1.000 offset=0.505 | data 0.0s compute 31.3s
[iter 4150] lr=8.55e-05 loss=1.998 motion=0.000 semantic=0.556 dice=1.000 offset=0.442 | data 0.0s compute 32.6s
[iter 4200] lr=7.60e-05 loss=1.939 motion=0.000 semantic=0.470 dice=1.000 offset=0.469 | data 0.0s compute 32.5s
[iter 4250] lr=6.70e-05 loss=1.072 motion=0.003 semantic=0.580 dice=0.040 offset=0.450 | data 0.0s compute 33.5s
[iter 4300] lr=5.85e-05 loss=1.077 motion=0.000 semantic=0.541 dice=0.033 offset=0.503 | data 0.0s compute 32.2s
[iter 4350] lr=5.06e-05 loss=1.068 motion=0.003 semantic=0.497 dice=0.106 offset=0.462 | data 0.0s compute 30.9s
[iter 4400] lr=4.32e-05 loss=1.934 motion=0.002 semantic=0.452 dice=1.000 offset=0.480 | data 0.0s compute 32.3s
[iter 4450] lr=3.64e-05 loss=2.000 motion=0.000 semantic=0.555 dice=1.000 offset=0.445 | data 0.0s compute 32.7s
[iter 4500] lr=3.02e-05 loss=1.655 motion=0.015 semantic=0.518 dice=0.613 offset=0.510 | data 0.0s compute 32.3s
[iter 4550] lr=2.45e-05 loss=1.242 motion=0.001 semantic=0.677 dice=0.050 offset=0.514 | data 0.0s compute 32.3s
[iter 4600] lr=1.94e-05 loss=0.931 motion=0.000 semantic=0.355 dice=0.077 offset=0.500 | data 0.0s compute 31.8s
[iter 4650] lr=1.49e-05 loss=1.875 motion=0.000 semantic=0.472 dice=1.000 offset=0.402 | data 0.0s compute 32.4s
[iter 4700] lr=1.09e-05 loss=1.254 motion=0.010 semantic=0.777 dice=0.049 offset=0.418 | data 0.0s compute 31.9s
[iter 4750] lr=7.60e-06 loss=1.016 motion=0.006 semantic=0.504 dice=0.037 offset=0.469 | data 0.0s compute 32.6s
[iter 4800] lr=4.87e-06 loss=1.826 motion=0.000 semantic=0.357 dice=1.000 offset=0.468 | data 0.0s compute 32.5s
[iter 4850] lr=2.74e-06 loss=1.781 motion=0.000 semantic=0.427 dice=1.000 offset=0.354 | data 0.0s compute 32.5s
[iter 4900] lr=1.22e-06 loss=1.874 motion=0.000 semantic=0.435 dice=1.000 offset=0.439 | data 0.0s compute 32.8s
[iter 4950] lr=3.05e-07 loss=0.913 motion=0.001 semantic=0.428 dice=0.023 offset=0.462 | data 0.0s compute 31.9s
  [val @ 5000] moving_iou=0.4904 P=0.731 R=0.598 semantic_miou=0.2743
done @ iter 5000. best moving_iou=0.4959  ckpts in /home/suba/sparseunet4d/runs/offset_v2_5k
